,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
0,-,-,-,-,-,-,7425,2381.90,2794.65,7425,6100.00,75,11.25,12.00,750,-6.75,11.30,159.50,25200,240825,695550
1,-,-,-,-,-,-,7425,2313.10,2756.75,7425,6150.00,3375,3.40,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,7425,2188.30,2687.80,7425,6200.00,75,13.55,15.15,6075,-10.65,15.15,153.99,6294,68625,101400
3,-,-,-,-,-,-,7425,2228.25,2640.35,7425,6250.00,4725,5.30,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,7425,2099.15,2581.35,7425,6300.00,75,18.00,21.30,300,9.40,21.00,128.33,926,20475,20475
5,-,-,-,-,-,-,7425,2038.00,2533.20,7425,6350.00,3000,7.90,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,7425,2009.00,2473.45,7425,6400.00,150,20.75,22.40,525,4.35,21.00,149.96,1706,23925,23925
7,-,-,-,-,-,-,7425,1948.95,2444.10,7425,6450.00,3150,11.75,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,7425,1926.05,2368.65,7425,6500.00,975,24.00,24.90,1500,-13.80,24.00,148.24,26535,175650,370875
9,-,-,-,-,-,-,7425,1856.20,2326.55,7425,6550.00,75,17.00,-,-,-,-,-,-,-,-
10,75,75,3,-,2050.00,997.35,7425,1835.35,2263.60,7425,6600.00,75,28.05,28.80,75,-23.00,28.35,147.08,2998,63450,66300
11,-,-,-,-,-,-,7425,1789.05,2220.40,7425,6650.00,1500,15.10,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,7425,1745.80,2160.05,7425,6700.00,75,31.00,33.00,1350,-23.70,33.00,145.81,2500,38625,38775
13,-,-,-,-,-,-,7425,1700.45,2120.80,7425,6750.00,75,36.05,38.00,75,-26.45,38.00,149.17,922,6375,13350
14,-,-,-,-,-,-,7425,1652.05,2057.30,7425,6800.00,150,37.50,39.50,75,-22.25,39.00,145.69,11751,45825,75900
15,-,-,-,-,-,-,7425,1609.80,2035.65,7425,6850.00,75,39.00,47.00,75,16.35,43.00,-,29,525,525
16,-,-,-,-,-,-,7425,1564.60,1955.75,7425,6900.00,75,42.00,44.95,75,-28.25,42.50,143.86,5394,39900,49050
17,-,-,-,-,-,-,7425,1519.55,1922.90,7425,6950.00,75,40.05,49.45,75,-35.80,40.05,145.27,776,2625,6900
18,75,-,-,-,-,-,75,1633.60,1723.75,75,7000.00,75,50.25,51.00,150,-30.55,50.50,143.99,91882,271875,918225
19,-,-,-,-,-,-,7425,1467.60,1816.25,7425,7050.00,75,50.50,61.65,600,28.05,54.95,-,240,4425,4425
20,-,-,-,-,-,-,150,1539.85,1631.05,150,7100.00,75,56.00,60.00,225,27.25,58.00,141.50,5438,33075,33075
21,-,-,-,-,-,-,7425,1340.50,1718.40,7425,7150.00,150,60.00,62.40,75,27.35,62.40,-,284,3375,3375
22,-,-,-,-,-,-,75,1448.40,1515.60,75,7200.00,75,61.65,67.00,150,-44.25,62.00,139.45,13373,92625,99600
23,-,-,-,-,-,-,7425,1247.20,1620.10,7425,7250.00,75,70.75,72.00,75,27.75,72.80,137.69,293,3000,3000
24,-,-,-,-,-,-,75,1357.60,1425.95,75,7300.00,75,72.10,76.80,75,-42.05,76.75,137.70,8887,37875,40275
25,-,-,-,-,-,-,7425,1187.90,1528.80,7425,7350.00,150,55.05,92.95,75,21.75,78.95,-,105,825,825
26,-,-,-,-,-,-,75,1266.95,1337.30,75,7400.00,75,85.40,91.00,150,-46.40,86.50,136.47,12619,41625,60300
27,-,-,-,-,-,-,7425,1060.15,1424.00,7425,7450.00,300,75.85,98.65,600,-76.45,97.35,135.31,574,3525,4050
28,7350,6450,117,94.43,1224.05,-25.95,75,1208.25,1234.20,75,7500.00,75,99.00,99.95,525,-46.75,99.15,134.30,114936,313950,762900
29,-,-,-,-,-,-,7425,1000.70,1320.25,7425,7550.00,75,90.70,106.30,375,63.80,106.35,130.83,201,1875,1875
30,225,225,17,-,1117.70,-314.45,375,1112.85,1148.70,75,7600.00,75,108.75,111.00,150,-51.70,111.00,132.72,21311,71550,106200
31,-,-,-,-,-,-,7425,879.85,1225.95,7425,7650.00,75,117.00,126.15,525,61.80,115.05,-,123,1875,1875
32,-,-,-,-,-,-,75,1020.60,1070.65,75,7700.00,75,125.15,127.95,75,-54.40,125.05,129.17,20201,88575,102600
33,-,-,-,-,-,-,7425,790.55,1135.30,7425,7750.00,75,131.00,136.70,75,-368.00,132.00,130.61,599,10875,10950
34,3600,1200,29,139.28,965.70,165.70,75,953.70,975.65,75,7800.00,150,141.00,142.00,4425,-54.55,142.00,127.68,45227,170850,268875
35,-,-,-,-,-,-,7425,700.70,1047.20,7425,7850.00,300,144.25,160.00,75,120.10,151.05,125.13,522,10050,10050
36,-,-,4,-,898.00,-454.00,375,866.50,904.10,75,7900.00,75,161.00,162.00,75,-53.50,162.00,125.32,26236,62925,99600
37,-,-,-,-,-,-,75,628.20,959.65,7425,7950.00,3825,172.00,175.00,225,-52.85,172.05,123.58,784,6075,6150
38,181725,9150,2903,111.75,805.00,-37.80,75,796.15,804.70,75,8000.00,675,180.20,182.00,825,-52.25,180.25,122.71,175105,261225,1006200
39,-,-,-,-,-,-,75,536.65,874.90,75,8050.00,75,170.00,203.00,75,137.95,189.00,120.26,869,9375,9375
40,2400,-2400,142,130.99,738.05,-27.85,75,717.55,741.65,75,8100.00,75,204.00,205.00,300,-49.35,205.00,120.00,23820,49800,118200
41,-,-,7,-,693.00,-775.70,75,663.90,820.35,7425,8150.00,75,215.00,228.70,600,223.25,227.05,113.16,423,3825,3825
42,3900,-4425,357,107.20,663.00,-28.75,75,644.60,668.20,75,8200.00,225,230.60,232.00,675,-48.40,230.65,117.73,40895,85575,190425
43,450,450,14,-,621.00,-750.10,75,589.60,738.10,7425,8250.00,75,244.00,257.80,600,240.50,246.40,113.65,2022,19575,19575
44,9975,-3225,315,117.38,591.55,-19.35,75,571.60,595.60,150,8300.00,75,257.00,260.00,1275,-42.60,259.95,115.04,39176,94125,167400
45,900,900,34,132.90,529.00,-745.40,225,175.55,658.70,7425,8350.00,75,250.00,280.00,300,268.10,277.00,112.64,2048,19350,19350
46,20700,14550,1044,104.58,511.00,-28.65,75,505.00,524.85,75,8400.00,75,291.00,295.00,300,-34.55,295.00,112.78,39188,111600,198825
47,3150,3150,853,102.67,478.65,-700.30,75,468.00,503.40,75,8450.00,225,303.00,318.65,600,-52.20,318.65,111.31,2473,8400,9225
48,550350,88500,22848,101.25,441.00,-27.35,450,441.00,452.50,150,8500.00,1050,320.00,322.85,1125,-33.85,320.00,109.66,155637,178650,850650
49,5625,5625,1562,100.25,410.00,-675.10,75,400.35,427.05,75,8550.00,75,331.90,344.00,75,-55.40,346.00,108.52,3956,19200,20100
50,126375,71025,18658,98.79,384.00,-19.70,75,379.00,385.00,75,8600.00,75,360.00,361.00,375,-28.50,360.00,107.28,48947,136725,218175
51,15075,15075,3464,96.39,352.05,-641.15,150,318.10,358.80,150,8650.00,75,381.30,383.90,300,355.20,382.00,106.27,6478,26700,26700
52,128250,24525,34897,97.01,320.00,-24.25,75,318.85,329.50,75,8700.00,75,400.50,401.00,2325,-24.20,401.00,105.46,44909,108825,199350
53,10575,10575,3243,95.92,296.50,-607.25,75,295.00,303.00,75,8750.00,150,420.00,435.00,75,394.95,432.00,102.51,2866,11700,11700
54,138450,66075,45928,95.19,272.00,-5.45,75,263.20,272.00,225,8800.00,75,437.55,451.45,75,-127.10,450.00,103.44,36950,88500,88650
55,12600,12600,4725,92.91,255.95,-561.25,150,241.45,255.95,150,8850.00,75,470.00,490.95,75,439.75,489.95,98.97,2176,6375,6375
56,97950,62250,45449,92.67,222.00,-4.60,150,213.35,225.00,600,8900.00,75,495.10,510.00,75,451.60,509.60,99.97,17541,36450,36450
57,14775,14775,4926,91.77,205.00,-1327.40,75,195.00,206.45,225,8950.00,75,508.00,539.95,75,538.95,539.95,98.08,1660,5925,5925
58,790875,105225,250312,90.42,180.00,6.70,300,172.00,180.00,300,9000.00,75,550.05,561.00,75,7.65,560.00,98.49,54127,206325,329475
59,28800,27975,6732,90.70,162.00,-5.65,75,150.00,162.90,525,9050.00,75,582.60,610.75,75,609.10,610.85,84.94,210,3675,3675
60,184800,154725,46230,88.98,140.65,7.05,150,133.60,143.00,75,9100.00,75,596.70,629.35,75,613.80,616.05,95.48,1955,19725,19725
61,17475,17475,1552,87.53,140.00,-1195.00,75,120.00,139.70,75,9150.00,7425,432.50,-,-,630.95,633.90,80.15,71,450,450
62,450975,313125,80972,86.80,106.05,2.90,225,106.00,110.00,75,9200.00,75,682.35,695.00,75,691.25,695.00,97.70,1295,20100,20100
63,19875,19875,2248,86.69,105.10,-1132.10,150,82.50,108.45,600,9250.00,7425,524.40,-,-,785.20,790.00,85.24,14,225,225
64,291525,176925,77554,85.01,87.00,9.45,150,87.00,87.40,675,9300.00,75,734.95,842.35,75,759.05,765.10,96.62,247,7125,7125
65,14400,14400,1679,83.93,85.00,-1055.35,75,40.00,85.20,600,9350.00,7425,619.40,-,-,857.00,864.60,-,7,225,225
66,176250,139800,69645,83.58,67.25,7.25,1050,67.25,68.65,75,9400.00,225,822.65,860.50,75,840.10,849.55,77.73,204,5175,5175
67,12750,12750,920,82.98,61.00,-983.80,75,51.00,62.00,75,9450.00,7425,690.45,-,-,-,-,-,-,-,-
68,1063425,628425,215083,82.17,54.00,6.10,75,53.80,55.30,150,9500.00,75,929.00,934.95,75,926.90,928.00,96.90,1362,17850,17850
69,11850,11850,1694,82.72,54.30,-1421.45,75,44.20,55.00,75,9550.00,150,940.30,1074.25,150,893.60,895.05,57.05,1,75,75
70,203700,174825,57276,81.60,44.00,6.35,75,42.00,45.00,75,9600.00,75,1005.40,1031.45,75,20.20,1040.20,86.03,37,1275,1275
71,4125,4125,1274,81.70,37.00,-1494.55,75,35.00,37.00,75,9650.00,150,1023.45,1171.55,7425,-,-,-,-,-,-
72,168225,141300,48029,81.88,35.00,3.60,75,33.15,35.00,300,9700.00,75,1094.20,1120.95,75,1088.05,1088.35,-,12,525,525
73,4500,4500,332,83.17,27.00,-1472.85,75,27.05,34.00,75,9750.00,150,1114.35,1255.70,7425,-,-,-,-,-,-
74,159150,157875,44934,83.15,26.55,1.20,225,26.55,27.40,75,9800.00,75,1068.75,1287.20,75,-,-,-,-,-,-
75,2625,2625,181,85.64,24.20,-1376.50,75,22.05,26.60,150,9850.00,7425,1042.70,1458.00,7425,-,-,-,-,-,-
76,73500,73500,25362,83.21,22.00,-1329.20,75,20.85,23.60,75,9900.00,450,1239.20,1428.00,7425,-,-,-,-,-,-
77,8850,8850,665,83.12,19.50,-1282.35,75,18.85,22.50,150,9950.00,7425,1098.05,1575.60,7425,-,-,-,-,-,-
78,1353600,926475,193570,84.20,17.25,0.05,150,17.25,17.40,150,10000.00,75,1385.75,1402.45,150,-0.85,1399.45,100.07,658,14550,28725
79,2550,2550,118,81.83,14.50,-1188.95,975,15.00,17.50,600,10050.00,7425,1112.70,1618.85,7425,-,-,-,-,-,-
80,152250,149175,21351,85.05,13.50,-3.15,1275,13.00,13.50,975,10100.00,7425,1267.70,1596.70,7425,-,-,-,-,-,-
81,3975,3975,189,83.60,12.15,-1594.05,75,12.00,12.15,1050,10150.00,7425,1372.95,1690.40,7425,-,-,-,-,-,-
82,160500,160500,14331,85.12,10.00,-1546.85,75,9.00,10.00,75,10200.00,7425,1283.55,1716.90,7425,-,-,-,-,-,-
83,450,450,16,-,9.90,-1497.60,150,7.65,11.85,600,10250.00,7425,1448.55,1794.65,7425,-,-,-,-,-,-
84,122025,122025,8968,85.88,6.80,-1451.45,75,6.60,6.80,450,10300.00,7425,1511.40,1873.30,7425,-,-,-,-,-,-
85,-,-,-,-,-,-,150,4.70,19.00,300,10350.00,7425,1550.90,1925.70,7425,-,-,-,-,-,-
86,97500,97500,7845,85.51,5.50,-1354.50,2250,4.30,5.45,600,10400.00,7425,1595.45,1957.05,7425,-,-,-,-,-,-
87,-,-,-,-,-,-,1200,3.70,10.00,300,10450.00,7425,1647.10,2031.25,7425,-,-,-,-,-,-
88,813225,659925,58190,85.72,4.80,-1.75,75,4.70,4.80,3075,10500.00,7800,1406.75,2072.10,75,-,-,-,-,-,-
89,-,-,-,-,-,-,75,3.05,14.00,300,10550.00,7425,1717.80,2149.75,7425,-,-,-,-,-,-
90,3600,3600,93,-,1.80,-1626.15,14550,1.25,3.50,375,10600.00,7425,1760.20,2189.45,7425,-,-,-,-,-,-
91,-,-,-,-,-,-,5025,1.65,24.00,300,10650.00,7425,1813.45,2260.45,7425,-,-,-,-,-,-
92,60450,60450,2682,86.74,2.50,-1595.20,7200,2.20,2.50,4650,10700.00,7425,1850.45,2296.00,7425,-,-,-,-,-,300
93,-,-,-,-,-,-,75,2.50,13.00,300,10750.00,7425,1899.80,2362.90,7425,-,-,-,-,-,-
94,124575,122325,4927,85.86,1.90,-3.70,300,1.85,1.90,1650,10800.00,7425,1934.50,2416.10,7425,-,-,-,-,-,-
95,-,-,-,-,-,-,75,1.40,12.40,300,10850.00,7425,1990.05,2473.80,7425,-,-,-,-,-,-
96,19800,19800,1011,86.26,1.70,-1400.50,4500,1.60,1.80,1500,10900.00,7425,2047.25,2546.45,7425,-,-,-,-,-,-
97,150,150,4,-,1.35,-1352.30,75,1.35,2.75,75,10950.00,7425,2074.20,2577.60,7425,-,-,-,-,-,-
98,617625,483675,34823,87.50,1.50,-1.05,9225,1.45,1.50,3225,11000.00,75,2037.90,2622.30,75,-,-,-,-,-,-
99,75,75,2,-,1.10,-1256.20,5325,1.10,2.10,75,11050.00,7425,2158.20,2692.95,7425,-,-,-,-,-,-
100,5625,5625,192,90.68,1.40,-1208.10,300,1.10,2.00,150,11100.00,7425,2234.50,2766.90,7425,-,-,-,-,-,-
101,150,150,6,111.94,2.60,-1159.40,225,1.00,4.00,300,11150.00,7425,2253.75,2785.25,7425,-,-,-,-,-,-
102,82950,71100,2257,91.19,1.15,-1.15,750,1.15,1.35,150,11200.00,7425,2307.50,2730.55,7425,-,-,-,-,-,-
103,-,-,2,-,2.00,-1066.15,300,1.00,4.90,3000,11250.00,7425,2348.05,2789.40,7425,-,-,-,-,-,-
104,-,-,-,-,-,-,750,0.70,4.75,3150,11300.00,7425,2396.05,2840.50,7425,-,-,-,-,-,-
105,-,-,-,-,-,-,10050,0.55,4.30,3000,11350.00,7425,2442.20,2901.40,7425,-,-,-,-,-,-
106,14325,14325,1151,89.31,0.70,-930.25,1650,0.70,1.35,1350,11400.00,7425,2483.45,2966.10,7425,-,-,-,-,-,-
107,-,-,-,-,-,-,10050,0.55,3.50,3000,11450.00,7425,2525.15,3020.50,7425,-,-,-,-,-,-
108,223425,201375,12142,91.48,0.75,-1.10,4875,0.75,0.80,3075,11500.00,7425,2570.70,3215.20,7425,-,-,-,-,-,-
109,-,-,-,-,-,-,75,0.50,4.30,3000,11550.00,7425,2611.35,3123.60,7425,-,-,-,-,-,-
110,-,-,-,-,-,-,5025,0.35,3.50,3000,11600.00,7425,2661.45,3157.50,7425,-,-,-,-,-,75
111,-,-,-,-,-,-,300,0.40,4.00,3000,11650.00,7425,2707.85,3220.00,7425,-,-,-,-,-,-
112,675,675,14,-,0.70,-674.60,75,0.70,3.00,3150,11700.00,7425,2772.40,3269.00,7425,-,-,-,-,-,-
113,-,-,-,-,-,-,300,0.40,3.50,3000,11750.00,7425,2812.40,3325.65,7425,-,-,-,-,-,-
114,900,900,829,102.63,1.30,-596.20,525,0.60,1.50,7200,11800.00,7425,2823.60,3375.65,7425,-,-,-,-,-,-
115,-,-,-,-,-,-,300,0.40,3.50,3000,11850.00,7425,2868.70,3443.50,7425,-,-,-,-,-,-
116,-,-,-,-,-,-,5025,0.20,3.00,3150,11900.00,7425,2947.15,3488.60,7425,-,-,-,-,-,-
117,-,-,-,-,-,-,300,0.40,3.30,3000,11950.00,7425,2962.85,3545.05,7425,-,-,-,-,-,-
118,583275,-24825,48418,96.75,0.40,0.15,75,0.40,0.45,10725,12000.00,7425,3031.75,3613.45,7425,-,-,-,-,-,-
119,1050,975,20,106.49,0.45,-50.10,4950,0.45,2.00,3000,12050.00,7425,3074.15,3651.95,7425,-,-,-,-,-,-
120,-,-,-,-,-,-,75,0.55,2.40,3000,12100.00,7425,3174.05,3728.90,7425,-,-,-,-,-,-
121,-,-,-,-,-,-,5025,0.30,2.80,3000,12150.00,7425,3227.30,3776.85,7425,-,-,-,-,-,-
122,-,-,-,-,-,-,5025,0.30,2.40,3000,12200.00,7425,3276.05,3852.00,7425,-,-,-,-,-,-
123,150,150,2,-,1.10,-307.40,300,1.10,2.20,3000,12250.00,7425,3325.35,3871.40,7425,-,-,-,-,-,-
124,750,750,10,-,2.40,-280.80,750,0.50,2.50,3000,12300.00,7425,3374.00,3927.70,7425,-,-,-,-,-,-
125,-,-,-,-,-,-,7500,0.10,2.80,3000,12350.00,7425,3319.90,3995.75,7425,-,-,-,-,-,-
126,1200,1200,342,-,0.40,-236.50,375,0.40,0.75,525,12400.00,7425,3432.30,4050.70,7425,-,-,-,-,-,-
127,-,-,-,-,-,-,7500,0.10,2.40,3000,12450.00,7425,3484.50,4104.40,7425,-,-,-,-,-,-
128,92325,53475,10296,107.54,0.60,-0.60,75,0.55,0.60,13425,12500.00,7425,3526.65,4157.00,7425,-,-,-,-,-,-
129,-,-,-,-,-,-,-,-,2.60,3000,12550.00,7425,3574.75,4217.75,7425,-,-,-,-,-,-
130,-,-,-,-,-,-,75,0.50,2.60,3000,12600.00,7425,3619.85,4274.45,7425,-,-,-,-,-,-
131,-,-,-,-,-,-,75,0.50,2.80,3000,12650.00,7425,3677.85,4332.35,7425,-,-,-,-,-,-
132,-,-,-,-,-,-,-,-,2.60,3000,12700.00,7425,3715.55,4387.25,7425,-,-,-,-,-,-
133,-,-,-,-,-,-,-,-,2.80,3000,12750.00,7425,3768.25,4447.10,7425,-,-,-,-,-,-
134,-,-,-,-,-,-,-,-,2.60,3000,12800.00,7425,3823.65,4502.50,7425,-,-,-,-,-,-
135,-,-,-,-,-,-,-,-,2.80,3000,12850.00,7425,3876.00,4555.90,7425,-,-,-,-,-,-
136,-,-,-,-,-,-,750,0.05,2.60,3000,12900.00,7425,3931.60,4612.75,7425,-,-,-,-,-,-
137,-,-,-,-,-,-,10050,0.10,2.30,3000,12950.00,7425,3922.20,4667.55,7425,-,-,-,-,-,-
138,92250,77625,10532,117.79,0.40,-0.25,1500,0.35,0.45,75,13000.00,7425,4021.85,4729.90,7425,-,-,-,-,-,-
139,-,-,798,-,0.65,-56.70,1500,0.05,2.60,3000,13050.00,7425,4031.85,4781.55,7425,-,-,-,-,-,-
140,75,75,55,122.54,0.10,-50.30,450,0.15,2.25,3000,13100.00,7425,4060.15,4849.50,7425,-,-,-,-,-,-
141,-,-,2408,124.76,1.00,-43.20,3000,0.55,2.00,3000,13150.00,7425,4121.15,4904.30,7425,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,2.60,3000,13200.00,7425,4174.25,4969.30,7425,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,2.80,3000,13250.00,7425,4221.10,5016.40,7425,-,-,-,-,-,-
144,-,-,-,-,-,-,-,-,2.30,3000,13300.00,7425,4262.25,5083.80,7425,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,2.80,3000,13350.00,7425,4309.75,5137.10,7425,-,-,-,-,-,-
146,-,-,-,-,-,-,-,-,2.60,3000,13400.00,7425,4362.55,5192.80,7425,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,2.50,3000,13450.00,7425,4404.80,5247.15,7425,-,-,-,-,-,-
148,31575,29025,9024,126.73,0.50,-1.00,3075,0.40,0.50,10425,13500.00,7425,4500.05,5306.35,7425,3580.25,4770.00,-,11,825,825
149,-,-,-,-,-,-,-,-,2.80,3000,13550.00,7425,4500.30,5364.00,7425,-,-,-,-,-,-
150,-,-,-,-,-,-,-,-,2.00,3000,13600.00,7425,4563.35,5425.60,7425,-,-,-,-,-,-
151,-,-,-,-,-,-,-,-,2.50,3000,13650.00,7425,4609.70,5481.25,7425,-,-,-,-,-,-
152,3825,3750,106,145.03,0.80,-2.25,300,0.65,0.80,2250,13700.00,7425,4654.80,5534.70,7425,-,-,-,-,-,-
153,150,150,4,152.42,0.85,-7.05,75,0.20,0.85,75,13750.00,7425,4631.35,5602.45,7425,-,-,-,-,-,-
